tweet_id,text,sentiment,predicted sentiment
1,. I really love the song. So relatable @ALIEGATIE LOVE \xF0\x9F\x98\x82  \xF0\x9F\x98\x8D ,2,positive
2,People should start watching the not mainstream movies \xF0\x9F\x98\x8A ,2,positive
3,I am so happy I am able to bring phone to my school.\xF0\x9F\x98\x82  @SHARKISes_ aren't we happy about it ???? \xF0\x9F\x98\xB3,2,positive
4,The actors in#PeakyBlinders are too good. I am excited to the next season #excited \xF0\x9F\x98\x8A,2,positive
5,The way @RyanMcMullan @ryavanhhuu__ sings are so heavenly. People listen to him#waytooggo \xF0\x9F\x98\x8A,2,positive
6,CANT WAIT To WATCH @RIVERDALE NEW SEASON! \xF0\x9F\x98\x8A @colesprouse,2,positive
7,him @CHRISPRATFANFOREVER45 is soo funny !!! I died laughing hahhahahahhah!! \xF0\x9F\x98\x82  \xF0\x9F\x98\x82 ,2,positive
8,All language films are good. I like exploring them.  \xF0\x9F\x98\xB3,2,positive
9,this @13Reasonswhy shouldnâ€™t end so soon. IMISS THEM!! \xF0\x9F\x98\x8A ,2,positive
10,I need a break from all these social media mess ever now and then. @REHInn67!! #done,0,negative
11,Can some explain me the need to be so bitter on social medias!! @willysrr4 I done get it.AT ALL \xF0\x9F\x98\x92 ,0,negative
12,I booked a cab fromthis new @CABservice !! They were so bad. I fear all the cabs now...\xF0\x9F\x98\xB1,1,neutral
13,WOOW!! The audacity people these days have to bring others down. I lost faith in people already. STUPID. \xF0\x9F\x98\xA9,0,negative
14,May be these celebrities should lead a normal life. Instead of having all this papparaxi!! Too much \xF0\x9F\x98\xA1,0,negative
15,I didnâ€™t like my dinner tonight. \xF0\x9F\x98\xAD It didnâ€™t taste good @Gudrl7 cooked it.,2,positive
16,worst experience in flight today!! They should improve the service.!! \xF0\x9F\x98\xA9 ,0,negative
17,I donâ€™t remember the last time I actually went out with my famil. HAIHHH !!!,1,neutral
18,I hate how things used to be. UGH. DEPRESSING \xF0\x9F\x98\x92,0,negative
19,They sing so badly. Please just change ur carrier @JUJUBOys ! \xF0\x9F\x98\xA9 ,0,negative
20,these beach are lovely but the disturbing garbage everwhereâ€¦.!! \xF0\x9F\x98\x92,0,negative
21,She @Taylorswift is such a angel. I love her \xF0\x9F\x98\x8D ,2,positive
22,can everyone pls go and watch YOU. \xF0\x9F\x98\x8A   It is lovely@joegolbery6,2,positive
23,His @KJAPA's latest film is so good. Loved watching it. YAAAY \xF0\x9F\x98\x8D  @KJ APA,2,positive
24,My baby has blue eyes. I could watch it all day. SO dreamy.. #beautiful \xF0\x9F\x98\x8D ,2,positive
25, can someone pls teach me how to ride horses. I would love to learn \xF0\x9F\x98\xAD,2,positive
26,How can @polly @GYSTU sing so in a low quality video. \xF0\x9F\x98\x8D,2,positive
27,I am impressed by everyone talent. I have none \xF0\x9F\x98\x92,2,positive
28,My father is getting me a new car. I am extremely excited #WOHOOOOW,1,neutral
29,I really wanna learn british accent!!  \xF0\x9F\x98\x8D,2,positive
30,"Here @taytay's love story is out of the world, mannn!!! @swiftie ",2,positive
31,Hate how people actually donâ€™t care about anyone. \xF0\x9F\x98\x92,0,negative
32,I am very salty these days @guyse4 \xF0\x9F\x98\xA9 ,0,negative
33,the @karshadians make things from nothing @KARDH34!!  Bored \xF0\x9F\x98\x92,0,negative
34,"covid 19 is the worst. Man, I need to go out \xF0\x9F\x98\xA9",0,negative
35,Please someone tell @justinbieber to stop singing. \xF0\x9F\x98\xAD  He thinks he is good. ,2,positive
36,I am going to watch all animation movies and annoy my family \xF0\x9F\x98\xA1 ,0,negative
37,My friend always scolds me for reason \xF0\x9F\x98\xA1 ,2,positive
