tweet_id,text
1,. I really love the song. So relatable @ALIEGATIE LOVE \xF0\x9F\x98\x82  \xF0\x9F\x98\x8D 
2,People should start watching the not mainstream movies \xF0\x9F\x98\x8A 
3,I am so happy I am able to bring phone to my school.\xF0\x9F\x98\x82  @SHARKISes_ aren't we happy about it ???? \xF0\x9F\x98\xB3
4,The actors in#PeakyBlinders are too good. I am excited to the next season #excited \xF0\x9F\x98\x8A
5,The way @RyanMcMullan @ryavanhhuu__ sings are so heavenly. People listen to him#waytooggo \xF0\x9F\x98\x8A
6,CANT WAIT To WATCH @RIVERDALE NEW SEASON! \xF0\x9F\x98\x8A @colesprouse
7,him @CHRISPRATFANFOREVER45 is soo funny !!! I died laughing hahhahahahhah!! \xF0\x9F\x98\x82  \xF0\x9F\x98\x82 
8,All language films are good. I like exploring them.  \xF0\x9F\x98\xB3
9,this @13Reasonswhy shouldnâ€™t end so soon. IMISS THEM!! \xF0\x9F\x98\x8A 
10,I need a break from all these social media mess ever now and then. @REHInn67!! #done
11,Can some explain me the need to be so bitter on social medias!! @willysrr4 I done get it.AT ALL \xF0\x9F\x98\x92 
12,I booked a cab fromthis new @CABservice !! They were so bad. I fear all the cabs now...\xF0\x9F\x98\xB1
13,WOOW!! The audacity people these days have to bring others down. I lost faith in people already. STUPID. \xF0\x9F\x98\xA9
14,May be these celebrities should lead a normal life. Instead of having all this papparaxi!! Too much \xF0\x9F\x98\xA1
15,I didnâ€™t like my dinner tonight. \xF0\x9F\x98\xAD It didnâ€™t taste good @Gudrl7 cooked it.
16,worst experience in flight today!! They should improve the service.!! \xF0\x9F\x98\xA9 
17,I donâ€™t remember the last time I actually went out with my famil. HAIHHH !!!
18,I hate how things used to be. UGH. DEPRESSING \xF0\x9F\x98\x92
19,They sing so badly. Please just change ur carrier @JUJUBOys ! \xF0\x9F\x98\xA9 
20,these beach are lovely but the disturbing garbage everwhereâ€¦.!! \xF0\x9F\x98\x92
21,She @Taylorswift is such a angel. I love her \xF0\x9F\x98\x8D 
22,can everyone pls go and watch YOU. \xF0\x9F\x98\x8A   It is lovely@joegolbery6
23,His @KJAPA's latest film is so good. Loved watching it. YAAAY \xF0\x9F\x98\x8D  @KJ APA
24,My baby has blue eyes. I could watch it all day. SO dreamy.. #beautiful \xF0\x9F\x98\x8D 
25, can someone pls teach me how to ride horses. I would love to learn \xF0\x9F\x98\xAD
26,How can @polly @GYSTU sing so in a low quality video. \xF0\x9F\x98\x8D
27,I am impressed by everyone talent. I have none \xF0\x9F\x98\x92
28,My father is getting me a new car. I am extremely excited #WOHOOOOW
29,I really wanna learn british accent!!  \xF0\x9F\x98\x8D
30,"Here @taytay's love story is out of the world, mannn!!! @swiftie "
31,Hate how people actually donâ€™t care about anyone. \xF0\x9F\x98\x92
32,I am very salty these days @guyse4 \xF0\x9F\x98\xA9 
33,the @karshadians make things from nothing @KARDH34!!  Bored \xF0\x9F\x98\x92
34,"covid 19 is the worst. Man, I need to go out \xF0\x9F\x98\xA9"
35,Please someone tell @justinbieber to stop singing. \xF0\x9F\x98\xAD  He thinks he is good. 
36,I am going to watch all animation movies and annoy my family \xF0\x9F\x98\xA1 
37,My friend always scolds me for reason \xF0\x9F\x98\xA1 
38,I hate eating fast food. Fight me !! #lol @sister45 \xF0\x9F\x98\x8A
39,My earphones broke. I feel so sad \xF0\x9F\x98\xA9  
40,I want to have a better brain. \xF0\x9F\x98\xA9  
41,the dance is so soulful. @ALLUARJUN @wooow5225 \xF0\x9F\x98\x8D 
42,Everyone should watch 28 days latter!! It predicted covid man woow. \xF0\x9F\x98\x8A \xF0\x9F\x98\xB1
43,How did @cillianmurphy act so well in all his movie. He is a dream!!! #cillianmurphy \xF0\x9F\x98\x8D
44,I can watch @peakyblinders every damn day till I die. I donâ€™t mind \xF0\x9F\x98\x8D
45, ANNA \xF0\x9F\x98\x8A  More like annabelle . HAHAHHA
46,I learned germanâ€¦ it is an angry language but I love it. HAHA \xF0\x9F\x98\xB
47,I love the tuxedo I just bouht. Lovely \xF0\x9F\x98\x82 
48,My brother can draw so well. I am amused. \xF0\x9F\x98\x8D  @hjomn23
49,My um can cook all these authentic disshes good. YUMMY. \xF0\x9F\x98\x8D 
50, I miss himm@ CILLIAN25 \xF0\x9F\x98\x8A  
51,I am going \xF0\x9F\x98\x8D \xF0\x9F\x98\x8D @ONEYEARANNIVERSARY
52,Winter is just \xF0\x9F\x98\x8A @huj6677 @loveloveloveeee
53,the sky is \xF0\x9F\x98\x8D  #TONIGHTISSPECIAL
54,2020 is just \xF0\x9F\x98\x82 . Speechless hahahah @guy546
55,I like peppy number keeps me awake and alive \xF0\x9F\x98\x8D  @hanszimmer
56, are we gonna ignore his good lyrics in all his songs \xF0\x9F\x98\x92 B58 @edsheeran
57,I need to go to theaters now. To relieve my stress \xF0\x9F\x98\xB3 !!! #HATE
58,my life is  \xF0\x9F\x98\x82 with @haiyley54
59,"My puppy, @Thomas has a lot to say. That cute pup. \xF0\x9F\x98\x8D"
60,he @zaynmalik and @gighadid's baby is already prettier than me. I am jealous @emo
61,I need some funding. YOUR LAPTOP IS WORST @lenovo  \xF0\x9F\x98\xA9
62,I am sweating RN!! the weather is so hot @GLOBAL WARMING \xF0\x9F\x98\xA9
63,the towel is so old@inetriros45 \xF0\x9F\x98\xA1
64,Please be nice \xF0\x9F\x98\x92 @thomas78
65,my cat died. What a pity!! \xF0\x9F\x98\xB1
66,You mean to say brain named other brains????! \xF0\x9F\x98\xB1
67,My father is gonna scold the shot out of me for this \xF0\x9F\x98\xAD #SAD
68,I am bored watching @TEDTALKS #notfunny \xF0\x9F\x98\xA9
69,When will all this be over!! \xF0\x9F\x98\xAD \xF0\x9F\x98\xAD @shitsx56
70,The twitter handle is @GOD is god himself????A?A? \xF0\x9F\x98\xAD
71,if u want customers u need to offer good service \xF0\x9F\x98\x92 HOPE THATâ€™S CLEAR @currierheath
72,This song is kiiling me. I cant anymore \xF0\x9F\x98\x92 
73,There must be a reason for murders to kill people @bbcnews7 @hughes09 \xF0\x9F\x98\xB1 
74,This storm last night was catastrophic \xF0\x9F\x98\xB1  @weatherreport
75,I am \xF0\x9F\x98\x92 bored #done with all these high school dramas
76,You @bryant \xF0\x9F\x98\xA1 should give me a break. I am getting sick!!!
77,When can we get our coupons. Taking forever \xF0\x9F\x98\xA1 @apple
78,how do people become gangsters \xF0\x9F\x98\xA1 so heartless.!!!! #BCCNEWS
79,he really though I didnâ€™t know he was lying @patheticlosee12 #STUPID \xF0\x9F\x98\x92 
80,The quiet place is such a funny movie. @THEqueitplace @tomhardy \xF0\x9F\x98\x82 
81,country music is so calmingâ€¦!!! #GOTO anyday errdayâ€¦!! @bellaciou \xF0\x9F\x98\x8D
82,Inception is the best movie ever made. I TELL YOU @leonardoDicaprio \xF0\x9F\x98\x8D
83,the @Christophernolan pleaseeeee make movie every year!!! @christophernolan \xF0\x9F\x98\x8D we need more good moviesâ€¦!
84,Batman is my favourite superhero \xF0\x9F\x98\x8A @Batman He is selfmade!!! #DAMNNN
85,Nick Cave and Bad SEDDS are my jam bow \xF0\x9F\x98\x8A @nickdave  @badseeds
86,In the dusty black coat with the red right hand !!! \xF0\x9F\x98\x8A @peakyblinders
87,Wont be a single thing you can ever do without this person \xF0\x9F\x98\x8A @paulwisly
88,I am proud of what you do \xF0\x9F\x98\x8A @katie56
89,Thank you for  always being there for me @GRATEFUL @sarmisthaa \xF0\x9F\x98\x8A
90,YOU CANT IMAGINE HOW GRATEFUL I AM TO HAVE MET YOU!!!!! \xF0\x9F\x98\x82  \xF0\x9F\x98\x82  @james90
91, I admire your work @JOnathan98 #WOOW \xF0\x9F\x98\x8D
92,YOU are beautiful #beauty inside and pout @juliana66 \xF0\x9F\x98\x8D
93,You are such an inspiration !!!! \xF0\x9F\x98\x8D @yusuf30 @yyst_
94,I love how you take things forward! #INSPIRED \xF0\x9F\x98\xB3
95,you are such a lucky charm #WOWOW @lana55 \xF0\x9F\x98\xB3
96,I am \xF0\x9F\x98\xB3 lucky to have you @kimer43 in my life!!!!
